stat_id,player_name,overs,maidens,runs,wickets,wides,no_balls,hattricks,dot_balls
1,"Zain Ali",3,0,57,0,15,4,0,5
2,"Danial Arshad",2,0,23,0,0,1,0,3
3,"Aadhil Anvar",3,0,29,1,2,0,0,8
4,"Srikar Patri",4,0,40,2,6,2,0,11
5,"Nayan Nagaraja",4,0,34,5,0,2,0,11
6,"Salman Irfan",2,0,33,0,9,1,0,3
7,"Zain Ali",3,0,12,2,4,0,0,10
8,"Reeham Anwar",1,0,6,0,0,0,0,0
9,"Salman Irfan",1,0,18,0,0,0,0,0
10,"Danial Arshad",1,0,20,1,3,0,0,4
11,"Nayan Nagaraja",1,0,11,1,2,0,0,3
12,"Zain Ali",4,0,58,0,10,0,0,4
13,"Danial Arshad",4,0,44,0,2,1,0,4
14,"Nayan Nagaraja",4,0,37,2,1,0,0,6
15,"Salman Irfan",4,0,44,0,1,0,0,3
16,"Srikar Patri",4,0,39,2,6,1,0,9
17,"Haroon Irfan",4,0,36,1,6,0,0,10
18,"Mohsin Khan",4,0,39,0,1,1,0,11
19,"Nayan Nagaraja",4,0,42,0,2,1,0,6
20,"Srikar Patri",4,0,56,1,8,1,0,5
21,"Rishi Lad",4,0,27,3,3,1,0,10
22,"Fauzan Amjad",3,1,5,1,0,0,0,14
23,"Aadhil Anvar",2,0,15,2,6,0,0,7
24,"Haroon Irfan",2,0,16,0,1,0,0,4
25,"Salman Irfan",1,0,7,0,2,0,0,2
26,"Rishi Lad",1,0,6,0,1,1,0,3
27,"Nayan Nagaraja",1,0,14,0,2,1,0,1
28,"Shiddah Patel",2,0,24,0,1,0,0,5
29,"Aadhil Anvar",2,0,29,0,4,0,0,4
30,"Aravind Saravu",1,0,11,0,1,0,0,4
31,"Salman Irfan",2,0,24,0,0,0,0,5
32,"Shiddah Patel",4,0,49,1,6,0,0,12
33,"Aadhil Anvar",3,0,44,1,1,1,0,5
34,"Aravind Saravu",4,0,49,1,2,0,0,11
35,"Rishi Lad",4,0,47,0,2,0,0,7
36,"Salman Irfan",2,0,35,0,1,0,0,2
37,"Danial Arshad",1,0,21,0,1,0,0,0
38,"Srikar Patri",2,0,24,1,0,1,0,5
39,"Shiddah Patel",4,0,37,1,4,0,0,6
40,"Aadhil Anvar",4,0,43,0,2,0,0,9
41,"Aravind Saravu",3,0,28,2,4,1,0,7
42,"Haroon Irfan",1,0,10,0,0,0,0,2
43,"Haris Abdul-Rashid",4,0,29,2,1,0,0,8
44,"Salman Irfan",4,0,43,1,6,0,0,8
45,"Shiddah Patel",4,0,40,0,5,0,0,8
46,"Aravind Saravu",4,0,41,0,1,0,0,9
47,"Haroon Irfan",2,0,38,1,8,0,0,3
48,"Haris Abdul-Rashid",4,0,55,2,2,0,0,7
49,"Nayan Nagaraja",2,0,33,0,0,0,0,2
50,"Danial Arshad",2,0,44,0,3,2,0,2
51,"Srikar Patri",2,0,25,0,0,1,0,4
