BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
Haroon Irfan,ct,Vaibhav K,Vaibhav K,17,20,2,0
Muhammad Awan,ct,Madhu B,Gaurang P,38,30,5,1
Reeham Anwar,st,Dileep L,Gaurang P,0,5,0,0
Salman Irfan,ct,Bharath A,Gaurang P,36,22,2,2
Danial Arshad,ct,Gaurang P,Vishnu V,8,15,0,0
Zain Ali,ct,Puneeth G,Vishnu V,0,1,0,0
Srikar Patri,,,,3,7,0,0
Nayan Nagaraja,ct,Bharath A,Bharath A,1,6,0,0
Waleed Waseem,ctw,Dileep L,Vaibhav K,1,2,0,0
Varun Iyer,st,Dileep L,Vaibhav K,0,1,0,0
Mohsin Khan,lbw,,Hiren Jr P,1,2,0,0
